CreatedMonthNo,CreatedWeekNo,IssueDate,PermitElapsedDays,ProjectValue,TypeOfWork,PermitCategory,PropertyUse,IssueYear,GeoLocalArea
9,37,12-06-2018,271,172750,New Building,New Build - Low Density Housing,Dwelling Uses,2018,West Point Grey
9,37,13-10-2017,29,625000,Addition / Alteration,Renovation - Commercial/ Mixed Use - Lower Complexity,Office Uses,2017,Downtown
9,37,06-10-2017,22,10000,Addition / Alteration,Renovation - Residential - Lower Complexity,Dwelling Uses,2017,Fairview
9,37,05-10-2017,21,40000,Addition / Alteration,Renovation - Residential - Lower Complexity,Dwelling Uses,2017,Downtown
9,37,17-10-2017,32,220000,Addition / Alteration,Renovation - Commercial/ Mixed Use - Lower Complexity,Office Uses,2017,Downtown
9,37,03-10-2017,18,8000,Addition / Alteration,Renovation - Residential - Lower Complexity,Dwelling Uses,2017,Kensington-Cedar Cottage
9,38,06-10-2017,18,76000,Addition / Alteration,Renovation - Residential - Lower Complexity,Dwelling Uses,2017,Kitsilano
9,38,30-10-2017,42,110000,Addition / Alteration,Renovation - Commercial/ Mixed Use - Lower Complexity,Office Uses,2017,Fairview
9,38,11-10-2017,22,28000,Addition / Alteration,Renovation - Commercial/ Mixed Use - Lower Complexity,Retail Uses,2017,Downtown
9,38,21-12-2017,93,3350000,Addition / Alteration,Renovation - Residential - Lower Complexity,Dwelling Uses,2017,Downtown
9,38,22-01-2018,125,200000,Addition / Alteration,Renovation - Commercial/ Mixed Use - Lower Complexity,Wholesale Uses,2018,Mount Pleasant
9,38,26-09-2017,7,1,Addition / Alteration,Renovation - Commercial/ Mixed Use - Lower Complexity,Cultural/Recreational Uses,2017,West Point Grey
9,38,30-10-2017,41,5000,Addition / Alteration,Renovation - Commercial/ Mixed Use - Lower Complexity,Retail Uses,2017,West Point Grey
9,38,11-04-2018,203,735000,New Building,New Build - Low Density Housing,Dwelling Uses,2018,Kensington-Cedar Cottage
9,38,28-08-2018,341,224325,New Building,New Build - Standalone Laneway,Dwelling Uses,2018,West Point Grey
9,38,05-10-2017,13,586000,Addition / Alteration,Renovation - Commercial/ Mixed Use - Lower Complexity,Office Uses,2017,Downtown
9,38,26-10-2017,34,10000,Addition / Alteration,Renovation - Commercial/ Mixed Use - Lower Complexity,Office Uses,2017,Downtown
9,39,24-10-2017,29,30000,Addition / Alteration,Renovation - Commercial/ Mixed Use - Lower Complexity,Retail Uses,2017,Arbutus Ridge
9,39,31-10-2017,36,50000,Addition / Alteration,Renovation - Commercial/ Mixed Use - Lower Complexity,"Office Uses,Wholesale Uses",2017,Fairview
9,39,23-10-2017,26,138543.5,Addition / Alteration,Renovation - Residential - Lower Complexity,Dwelling Uses,2017,Downtown
9,39,11-06-2018,257,516500,New Building,New Build - Low Density Housing,Dwelling Uses,2018,Grandview-Woodland
9,39,04-10-2017,7,30000,Addition / Alteration,Renovation - Commercial/ Mixed Use - Lower Complexity,Retail Uses,2017,Downtown
9,39,09-02-2018,135,836500,New Building,New Build - Low Density Housing,Dwelling Uses,2018,Renfrew-Collingwood
9,39,02-11-2017,35,137840,Addition / Alteration,Renovation - Residential - Lower Complexity,Dwelling Uses,2017,Mount Pleasant
9,39,12-04-2018,196,210080,New Building,New Build - Low Density Housing,Dwelling Uses,2018,Sunset
9,39,19-10-2017,20,4000,Addition / Alteration,Renovation - Residential - Lower Complexity,Dwelling Uses,2017,Kitsilano
9,39,24-01-2018,117,250000,Addition / Alteration,Renovation - Residential - Lower Complexity,Dwelling Uses,2018,Kitsilano
9,39,26-07-2018,300,271100,New Building,New Build - Standalone Laneway,Dwelling Uses,2018,Kerrisdale
10,40,23-10-2017,21,30000,Addition / Alteration,Renovation - Residential - Lower Complexity,Dwelling Uses,2017,West End
10,40,23-01-2018,113,25000,Addition / Alteration,Renovation - Commercial/ Mixed Use - Lower Complexity,Retail Uses,2018,Kitsilano
10,40,04-10-2018,367,725250,New Building,New Build - Low Density Housing,Dwelling Uses,2018,Hastings-Sunrise
10,40,02-11-2017,30,160000,Addition / Alteration,Renovation - Residential - Lower Complexity,Dwelling Uses,2017,Shaughnessy
10,40,15-10-2018,377,225000,New Building,New Build - Low Density Housing,Dwelling Uses,2018,West Point Grey
10,40,04-04-2018,183,225000,New Building,New Build - Low Density Housing,Dwelling Uses,2018,Renfrew-Collingwood
10,40,27-10-2017,23,48000,Addition / Alteration,Renovation - Commercial/ Mixed Use - Lower Complexity,Retail Uses,2017,Downtown
10,40,02-02-2018,121,80000,Addition / Alteration,Renovation - Residential - Lower Complexity,Dwelling Uses,2018,Downtown
10,40,28-11-2017,55,168000,Addition / Alteration,Renovation - Commercial/ Mixed Use - Lower Complexity,Office Uses,2017,West End
10,40,26-04-2018,204,1046750,New Building,New Build - Low Density Housing,Dwelling Uses,2018,Killarney
10,40,26-04-2018,204,225000,New Building,New Build - Low Density Housing,Dwelling Uses,2018,Killarney
10,40,25-01-2018,112,301000,Addition / Alteration,Renovation - Commercial/ Mixed Use - Lower Complexity,Manufacturing Uses,2018,Mount Pleasant
10,40,10-11-2017,36,16000,Addition / Alteration,Renovation - Commercial/ Mixed Use - Lower Complexity,Retail Uses,2017,Mount Pleasant
10,40,14-11-2017,40,100000,Addition / Alteration,Renovation - Residential - Lower Complexity,Dwelling Uses,2017,Marpole
10,40,18-06-2018,255,159500,New Building,New Build - Low Density Housing,Dwelling Uses,2018,Sunset
10,40,14-12-2017,69,151297,Addition / Alteration,Renovation - Commercial/ Mixed Use - Lower Complexity,Office Uses,2017,Downtown
10,41,01-02-2018,114,94500,Addition / Alteration,Renovation - Residential - Lower Complexity,Dwelling Uses,2018,Mount Pleasant
10,41,07-11-2017,28,15000,Addition / Alteration,Renovation - Commercial/ Mixed Use - Lower Complexity,Retail Uses,2017,South Cambie
10,41,04-09-2018,328,1408750,New Building,New Build - Low Density Housing,Dwelling Uses,2018,Kerrisdale
10,41,08-11-2017,28,90000,Addition / Alteration,Renovation - Residential - Lower Complexity,Dwelling Uses,2017,Downtown
10,41,02-11-2017,21,5000,Addition / Alteration,Renovation - Commercial/ Mixed Use - Lower Complexity,Office Uses,2017,Fairview
10,41,09-01-2018,89,150000,Addition / Alteration,Renovation - Commercial/ Mixed Use - Lower Complexity,Institutional Uses,2018,South Cambie
10,41,01-11-2017,20,20000,Addition / Alteration,Renovation - Commercial/ Mixed Use - Lower Complexity,Office Uses,2017,Downtown
