CreatedMonthNo,CreatedWeekNo,IssueDate,PermitElapsedDays,ProjectValue,TypeOfWork,PermitCategory,PropertyUse,IssueYear,GeoLocalArea
5,18,42892,37,5000,1,3,Office Uses,2017,Downtown
5,18,42871,16,130000,1,3,Office Uses,2017,Downtown
5,18,42883,27,98000,1,3,Office Uses,2017,Downtown
5,18,42897,41,160000,1,3,Office Uses,2017,Downtown
5,18,42892,35,85000,1,3,Retail Uses,2017,West Point Grey
5,18,43257,400,1198250,2,1,Dwelling Uses,2018,Arbutus Ridge
5,18,43117,260,169250,2,1,Dwelling Uses,2018,West Point Grey
5,18,43117,259,704250,2,1,Dwelling Uses,2018,West Point Grey
5,18,42883,25,1000000,1,3,Office Uses,2017,Downtown
5,18,42882,24,42000,1,3,Office Uses,2017,Downtown
5,18,42899,41,3500,1,3,Transportation and Storage Uses,2017,Sunset
5,18,42882,24,0,1,3,Office Uses,2017,Downtown
5,19,43011,150,2402500,2,1,Dwelling Uses,2017,Shaughnessy
5,19,43369,507,933128,2,1,Dwelling Uses,2018,Shaughnessy
5,19,43241,378,1419250,2,1,Dwelling Uses,2018,Kerrisdale
5,19,43241,378,225000,2,1,Dwelling Uses,2018,Kerrisdale
5,19,42898,35,75000,1,3,Retail Uses,2017,Downtown
5,19,42884,21,120000,1,3,Office Uses,2017,Fairview
5,19,42925,61,275000,1,4,Dwelling Uses,2017,West End
5,19,43101,236,356092.2,1,4,Dwelling Uses,2018,Sunset
5,20,42883,15,15000,1,4,Dwelling Uses,2017,Marpole
5,20,43018,149,225000,2,1,Dwelling Uses,2017,Shaughnessy
5,20,42893,24,35000,1,4,Dwelling Uses,2017,Mount Pleasant
5,20,43159,289,12800,1,4,Dwelling Uses,2018,Renfrew-Collingwood
5,20,42893,23,34300,1,4,Dwelling Uses,2017,Downtown
5,20,43390,520,661000,2,1,Dwelling Uses,2018,Victoria-Fraserview
5,20,42897,26,10000,1,3,Office Uses,2017,Downtown
5,20,42893,22,45000,1,3,Office Uses,2017,Arbutus Ridge
5,20,42893,22,90000,1,4,Dwelling Uses,2017,Downtown
5,20,42900,28,80000,1,3,Institutional Uses,2017,West End
5,20,42900,28,12000,1,4,Dwelling Uses,2017,Kitsilano
5,20,42983,111,854000,2,1,Dwelling Uses,2017,Victoria-Fraserview
5,21,43059,183,160580,2,1,Dwelling Uses,2017,Oakridge
5,21,43131,255,969250,2,1,Dwelling Uses,2018,Dunbar-Southlands
5,21,43071,194,225000,2,2,Dwelling Uses,2017,Sunset
5,21,42903,25,95000,1,4,Dwelling Uses,2017,West Point Grey
8,33,42799,209,177250,2,1,Dwelling Uses,2017,Sunset
5,21,43039,160,161125,2,1,Dwelling Uses,2017,Hastings-Sunrise
5,21,42931,52,20000,1,3,Manufacturing Uses,2017,Mount Pleasant
5,22,43101,219,840000,2,1,Dwelling Uses,2018,Victoria-Fraserview
5,22,42906,24,10000,1,3,Office Uses,2017,Downtown
5,22,43001,119,2000,1,4,Dwelling Uses,2017,Kensington-Cedar Cottage
5,22,43045,162,25000,1,4,Dwelling Uses,2017,Grandview-Woodland
5,22,42920,37,1150000,1,3,Office Uses,2017,Downtown
5,22,42913,30,35000,1,4,Dwelling Uses,2017,Riley Park
5,22,43170,287,1101450,2,1,Dwelling Uses,2018,Arbutus Ridge
5,22,42906,23,65000,1,3,Office Uses,2017,West End
5,22,42907,23,32000,1,3,Office Uses,2017,Downtown
5,22,42913,29,20000,1,4,Dwelling Uses,2017,Sunset
5,22,42900,16,60000,1,3,Office Uses,2017,Fairview
5,22,42903,19,500,1,4,Dwelling Uses,2017,Kensington-Cedar Cottage
5,22,42933,49,200000,1,3,Retail Uses,2017,Downtown
6,22,42914,28,5500,1,4,Dwelling Uses,2017,Marpole
6,22,42900,14,50000,1,4,Dwelling Uses,2017,Arbutus Ridge
6,22,42886,0,2000,1,4,Dwelling Uses,2017,Mount Pleasant
6,22,43355,469,1220487,2,1,Dwelling Uses,2018,Kerrisdale
6,23,43036,147,47040,1,4,Dwelling Uses,2017,Kensington-Cedar Cottage
6,23,42928,38,160000,1,3,Office Uses,2017,Downtown
6,23,42926,36,80000,1,4,Dwelling Uses,2017,Downtown
6,23,42920,30,80000,1,4,Dwelling Uses,2017,Kitsilano
6,23,43194,304,182500,2,1,Dwelling Uses,2018,Kensington-Cedar Cottage
