Region,Consumption (ekWh),Floor area (ft2),EUI (kW/ft2),Emission (tCO2e),Emissions per Floor Area (KgCO2e/sq. ft),Reporting Year
Vancouver Island,192474.97,17448.306297967,11.031154928,2.213154195,0.126840632,2022
Northern,75699.28,34532,2.192148732,0.807711318,0.023390227,2018
Northern,65549.22,34532,1.898216727,0.699410177,0.020253972,2019
Northern,77853.88,34532,2.254543033,0.830700900,0.024055974,2020
Northern,89548.05,34531.916286055,2.593196661,0.868615942,0.025154003,2021
Northern,90080.18,34531.931153999,2.608605340,1.035777942,0.029994788,2022
Northern,182103.36,59976,3.036270508,1.943042851,0.032397006,2018
Northern,171070.04,59976,2.852308257,1.825317327,0.030434129,2019
Northern,171347.28,59976,2.856930772,1.828275478,0.030483451,2020
Northern,186257.1,59975.970646386,3.105528731,1.806693572,0.030123624,2021
Northern,173808.9,59975.996469436,2.897974360,1.998524256,0.033322068,2022
Northern,66245.85,19008,3.48515625,0.706843220,0.037186617,2018
Northern,71054.64,19008,3.738143939,0.758153009,0.039885996,2019
Northern,65374.91,19008,3.439336595,0.697550290,0.036697721,2020
Northern,56345.3,19007.989404868,2.964295634,0.546549320,0.028753663,2021
Northern,50984.91,19007.997588883,2.682287272,0.586244889,0.030842012,2022
Vancouver Island,64209.84,16740,3.835713262,0.685118993,0.040927061,2018
Vancouver Island,73661.53,16740,4.400330346,0.785968525,0.046951525,2019
Vancouver Island,74807.08,16740,4.468762246,0.798191544,0.047681693,2020
Vancouver Island,79188.77,16739.925840963,4.730532904,0.768130942,0.045886162,2021
Vancouver Island,63429.77,16739.933048448,3.789129253,0.729340867,0.043568924,2022
Interior,76822.37,20347,3.775611638,0.819694688,0.040285776,2018
Interior,87880.51,20347,4.319089301,0.937685042,0.046084683,2019
Interior,75774.59,20347,3.724116086,0.808514875,0.039736319,2020
Interior,72969.01,20346.912221602,3.586244891,0.707799280,0.034786570,2021
Interior,78027.75,20346.920982100,3.834867697,0.897194281,0.044094843,2022
Interior,22991.505616525,2288,10.048734972,0.245319365,0.107220002,2018
Interior,20534.366003462,2288,8.974810316,0.219101685,0.095761226,2019
Interior,23773.944667793,2288,10.390710082,0.061503195,0.026880767,2020
Interior,22395.020783893,2287.976798176,9.788132817,0.217231666,0.094944873,2021
